epoch, batch, loss, loss_e, e_mae, e/N_mae
    2,   127,         0.040275,         0.040275,           5.7092,          0.17841
    2,   128,         0.027781,         0.027781,           4.9876,          0.15586
    2,   129,        0.0086205,        0.0086205,           2.3242,         0.072632
    2,   130,         0.011904,         0.011904,           3.4577,          0.10805
    2,   131,         0.010822,         0.010822,           2.8896,           0.0903
    2,   132,        0.0060422,        0.0060422,           2.1603,         0.067508
    2,   133,       0.00060226,       0.00060226,          0.71763,         0.022426
    2,   134,        0.0089067,        0.0089067,           2.5253,         0.078915
    2,   135,        0.0064034,        0.0064034,           2.5098,         0.078432
    2,   136,         0.015151,         0.015151,           3.9219,          0.12256
    2,   137,         0.014261,         0.014261,           3.0852,         0.096411
    2,   138,         0.012576,         0.012576,           3.2284,          0.10089
    2,   139,         0.012207,         0.012207,           3.1415,         0.098171
    2,   140,         0.012951,         0.012951,           3.3421,          0.10444
    2,   141,         0.011455,         0.011455,           3.0089,         0.094028
    2,   142,         0.013461,         0.013461,           3.4488,          0.10777
    2,   143,         0.012102,         0.012102,           3.3405,          0.10439
    2,   144,         0.016661,         0.016661,           4.0874,          0.12773
    2,   145,        0.0092231,        0.0092231,           2.5976,         0.081175
    2,   146,        0.0081235,        0.0081235,           2.4898,         0.077808
    2,   147,        0.0059402,        0.0059402,           2.2935,         0.071673
    2,   148,        0.0072691,        0.0072691,           2.4606,         0.076895
    2,   149,         0.004432,         0.004432,           2.0095,         0.062796
    2,   150,        0.0010284,        0.0010284,          0.83424,          0.02607
    2,   151,         0.001089,         0.001089,          0.91533,         0.028604
    2,   152,        0.0021794,        0.0021794,           1.3423,         0.041947
    2,   153,         0.011948,         0.011948,            2.996,         0.093626
    2,   154,        0.0017435,        0.0017435,           1.2735,         0.039798
    2,   155,        0.0065991,        0.0065991,           2.3491,         0.073409
    2,   156,         0.015873,         0.015873,           3.3492,          0.10466
    2,   157,       0.00015043,       0.00015043,          0.35742,         0.011169
    2,   158,        0.0082184,        0.0082184,           2.5323,         0.079134
    2,   159,        0.0031681,        0.0031681,           1.3283,         0.041508
    2,   160,         0.003914,         0.003914,           1.7165,         0.053641
    2,   161,        0.0035563,        0.0035563,           1.4493,          0.04529
    2,   162,        0.0020461,        0.0020461,             1.27,         0.039689
    2,   163,         0.014095,         0.014095,           3.1174,         0.097418
    2,   164,        0.0002137,        0.0002137,          0.34531,         0.010791
    2,   165,        0.0034806,        0.0034806,           1.4001,         0.043752
    2,   166,        0.0032452,        0.0032452,           1.5763,          0.04926
    2,   167,         0.001935,         0.001935,           1.0669,         0.033342
    2,   168,        0.0028681,        0.0028681,           1.6276,         0.050861
    2,   169,         0.006276,         0.006276,           1.7876,         0.055862
    2,   170,         0.001211,         0.001211,           1.0919,         0.034121
    2,   171,       0.00070572,       0.00070572,           0.7288,         0.022775
    2,   172,        0.0016254,        0.0016254,            1.247,         0.038968
    2,   173,         0.003178,         0.003178,           1.7326,         0.054143
    2,   174,        0.0091413,        0.0091413,           2.3216,         0.072551
    2,   175,        0.0015979,        0.0015979,           1.1489,         0.035905
    2,   176,        0.0044811,        0.0044811,           2.1057,         0.065803
    2,   177,        0.0017293,        0.0017293,           1.1087,         0.034645
    2,   178,        0.0091351,        0.0091351,           2.6299,         0.082184
    2,   179,        0.0075548,        0.0075548,           1.9613,         0.061289
    2,   180,        0.0076632,        0.0076632,           2.5413,         0.079417
    2,   181,         0.002877,         0.002877,           1.3932,         0.043537
    2,   182,         0.001725,         0.001725,           1.1256,         0.035174
    2,   183,        0.0027791,        0.0027791,           1.6041,         0.050129
    2,   184,        0.0032215,        0.0032215,           1.5446,         0.048268
    2,   185,        0.0010442,        0.0010442,          0.82124,         0.025664
    2,   186,       0.00073903,       0.00073903,          0.86184,         0.026933
    2,   187,       0.00015997,       0.00015997,           0.3499,         0.010934
    2,   188,        0.0010659,        0.0010659,          0.89608,         0.028003
    2,   189,        0.0071966,        0.0071966,           2.0719,         0.064748
    2,   190,        0.0019918,        0.0019918,           1.1884,         0.037137
    2,   191,        0.0014754,        0.0014754,           1.1459,          0.03581
    2,   192,       0.00096252,       0.00096252,          0.66782,         0.020869
    2,   193,        0.0059188,        0.0059188,           2.0991,         0.065598
    2,   194,        0.0029645,        0.0029645,           1.5459,         0.048311
    2,   195,        0.0034251,        0.0034251,           1.1799,         0.036872
    2,   196,        0.0041103,        0.0041103,           2.0028,         0.062588
    2,   197,        0.0047729,        0.0047729,            1.741,         0.054407
    2,   198,       0.00087207,       0.00087207,           0.9236,         0.028863
    2,   199,        0.0015225,        0.0015225,           1.1975,         0.037421
    2,   200,        0.0049266,        0.0049266,           1.6778,         0.052431
    2,   201,        0.0017086,        0.0017086,           1.2094,         0.037793
    2,   202,        0.0010516,        0.0010516,          0.90847,          0.02839
    2,   203,        0.0032844,        0.0032844,           1.6154,          0.05048
    3,     1,        0.0020848,        0.0020848,           1.0334,         0.032292
    3,     2,        0.0033737,        0.0033737,           1.5826,         0.049457
    3,     3,        0.0017489,        0.0017489,           1.2697,         0.039679
    3,     4,        0.0068496,        0.0068496,           2.6223,         0.081946
    3,     5,       0.00048638,       0.00048638,          0.61327,         0.019165
    3,     6,       0.00040906,       0.00040906,          0.58644,         0.018326
    3,     7,        0.0018427,        0.0018427,           1.2617,         0.039427
    3,     8,        0.0016134,        0.0016134,           1.1227,         0.035083
    3,     9,        0.0020495,        0.0020495,           1.4064,         0.043949
    3,    10,       0.00011622,       0.00011622,          0.26497,        0.0082805
    3,    11,        0.0020817,        0.0020817,           1.3314,         0.041607
    3,    12,        0.0029853,        0.0029853,           1.2626,         0.039456
    3,    13,        0.0056398,        0.0056398,           2.0168,         0.063025
    3,    14,          0.00387,          0.00387,           1.7251,         0.053908
    3,    15,        0.0054247,        0.0054247,           1.9896,         0.062174
    3,    16,       0.00044116,       0.00044116,          0.62526,         0.019539
    3,    17,        0.0058027,        0.0058027,           2.1153,         0.066104
    3,    18,        0.0024719,        0.0024719,           1.5194,         0.047482
    3,    19,       0.00038655,       0.00038655,          0.46374,         0.014492
    3,    20,       0.00050183,       0.00050183,          0.59399,         0.018562
    3,    21,        0.0080317,        0.0080317,           2.4018,         0.075057
    3,    22,        0.0048102,        0.0048102,           2.0201,         0.063127
    3,    23,       0.00058101,       0.00058101,          0.68293,         0.021342
    3,    24,        0.0020322,        0.0020322,           1.1162,         0.034882
    3,    25,        0.0035126,        0.0035126,           1.5838,         0.049493
    3,    26,       0.00062836,       0.00062836,          0.79328,          0.02479
    3,    27,        0.0043972,        0.0043972,           1.6871,         0.052721
    3,    28,        0.0044036,        0.0044036,           1.4692,         0.045913
    3,    29,       0.00031486,       0.00031486,          0.49146,         0.015358
    3,    30,        0.0063544,        0.0063544,           2.3979,         0.074933
    3,    31,        0.0021825,        0.0021825,           1.3662,         0.042695
    3,    32,       0.00062638,       0.00062638,          0.64632,         0.020198
    3,    33,        0.0010132,        0.0010132,          0.81143,         0.025357
    3,    34,        0.0013288,        0.0013288,           0.9874,         0.030856
    3,    35,       0.00022236,       0.00022236,          0.41315,         0.012911
    3,    36,        0.0015483,        0.0015483,           1.0759,         0.033621
    3,    37,         0.010002,         0.010002,           2.9131,         0.091033
    3,    38,       0.00095362,       0.00095362,          0.90372,         0.028241
    3,    39,        0.0033719,        0.0033719,            1.595,         0.049844
    3,    40,        0.0019926,        0.0019926,            1.055,         0.032968
    3,    41,       0.00030278,       0.00030278,          0.47066,         0.014708
